line_key,line_name,rule_ref,authority,payment_grain,scope,code_system,code,qualifier,qualifier_means,binding_role,source_definition,adjudicated,vernacular_aliases,do_not_alias_with
bh_medication_mgmt,Behavioral Health Medication Management Services,59G-4.029,AHCA 59G rule,code_modifier,serve,hcpcs,H2019,,,rendered_as,Psychological testing,True,,
bh_medication_mgmt,Behavioral Health Medication Management Services,59G-4.029,AHCA 59G rule,code_modifier,serve,hcpcs,T1007,TS,Follow-up service,rendered_as,"Treatment plan review, substance abuse",True,,
bh_medication_mgmt,Behavioral Health Medication Management Services,59G-4.029,AHCA 59G rule,code_modifier,serve,hcpcs,T1007,,,rendered_as,"Treatment plan development, new and established patient, substance abuse",True,,
bh_medication_mgmt,Behavioral Health Medication Management Services,59G-4.029,AHCA 59G rule,code_modifier,serve,hcpcs,T1015,,,rendered_as,Medication management,True,,
bh_medication_mgmt,Behavioral Health Medication Management Services,59G-4.029,AHCA 59G rule,code_modifier,serve,hcpcs,T1023,HE,Mental health program,rendered_as,"Behavioral health medical screening, mental health",True,,
bh_medication_mgmt,Behavioral Health Medication Management Services,59G-4.029,AHCA 59G rule,code_modifier,serve,hcpcs,T1023,HF,Substance abuse program,rendered_as,"Behavioral health medical screening, substance abuse",True,,
bh_overlay,Behavioral Health Overlay Services,59G-4.027,AHCA 59G rule,code_modifier,serve,,,,,,,,,
bh_therapy,Behavioral Health Therapy Services,59G-4.052,AHCA 59G rule,code_modifier,serve,hcpcs,H0020,,,rendered_as,Medication-assisted treatment services,False,,
bh_therapy,Behavioral Health Therapy Services,59G-4.052,AHCA 59G rule,code_modifier,serve,hcpcs,H0047,,,rendered_as,"Behavioral health-related medical services: verbal interaction, substance abuse",False,,
bh_therapy,Behavioral Health Therapy Services,59G-4.052,AHCA 59G rule,code_modifier,serve,hcpcs,H0048,,,rendered_as,Behavioral health-related medical services: alcohol and other drug screening specimen,False,,
bh_therapy,Behavioral Health Therapy Services,59G-4.052,AHCA 59G rule,code_modifier,serve,hcpcs,H2010,HE,Mental health program,rendered_as,"Brief individual medical psychotherapy, mental health",False,,
bh_therapy,Behavioral Health Therapy Services,59G-4.052,AHCA 59G rule,code_modifier,serve,hcpcs,H2010,HF,Substance abuse program,rendered_as,"Brief individual medical psychotherapy, substance abuse",False,,
bh_therapy,Behavioral Health Therapy Services,59G-4.052,AHCA 59G rule,code_modifier,serve,hcpcs,H2017,,,rendered_as,Psychosocial rehabilitation services,False,,
bh_therapy,Behavioral Health Therapy Services,59G-4.052,AHCA 59G rule,code_modifier,serve,hcpcs,H2030,,,rendered_as,Clubhouse services,False,,
bh_therapy,Behavioral Health Therapy Services,59G-4.052,AHCA 59G rule,code_modifier,serve,hcpcs,T1015,HE,Mental health program,rendered_as,"Behavioral health-related medical services: medical procedures, mental health",False,,
bh_therapy,Behavioral Health Therapy Services,59G-4.052,AHCA 59G rule,code_modifier,serve,hcpcs,T1015,HF,Substance abuse program,rendered_as,"Behavioral health-related medical services: medical procedures, substance abuse",False,,
cbha,Comprehensive Behavioral Health Assessment,,AHCA 59G rule,code_modifier,serve,,,,,,,,,
chd_clinic,County Health Department clinic services,59G-4.055,AHCA 59G rule,facility_pps_encounter,serve,,,,,,,,,
evaluation_management,Evaluation and Management (outpatient primary care),59G-4.087,AHCA 59G rule,code_modifier,serve,,,,,,,,,
fact,Florida Assertive Community Treatment (FACT),59G-4.127,AHCA 59G rule,code_modifier,serve,hcpcs,H0040,,,rendered_as,Florida Assertive Community Treatment,False,,
fact,Florida Assertive Community Treatment (FACT),59G-4.127,AHCA 59G rule,code_modifier,serve,hcpcs,H2010,HQ,Group setting,rendered_as,Brief group medical therapy,False,,
fact,Florida Assertive Community Treatment (FACT),59G-4.127,AHCA 59G rule,code_modifier,serve,hcpcs,H2012,HF,Substance abuse program,rendered_as,"Behavioral health day services, substance abuse",False,,
fact,Florida Assertive Community Treatment (FACT),59G-4.127,AHCA 59G rule,code_modifier,serve,hcpcs,H2012,,,rendered_as,"Behavioral health day services, mental health",False,,
fact,Florida Assertive Community Treatment (FACT),59G-4.127,AHCA 59G rule,code_modifier,serve,hcpcs,H2019,HM,Less than bachelor degree level,rendered_as,"Therapeutic behavioral on-site services, therapeutic support",False,,
fact,Florida Assertive Community Treatment (FACT),59G-4.127,AHCA 59G rule,code_modifier,serve,hcpcs,H2019,HN,Bachelors degree level,rendered_as,"Therapeutic behavioral on-site services, behavior management",False,,
fact,Florida Assertive Community Treatment (FACT),59G-4.127,AHCA 59G rule,code_modifier,serve,hcpcs,H2019,HO,Masters degree level,rendered_as,"Therapeutic behavioral on-site services, therapy",False,,
fact,Florida Assertive Community Treatment (FACT),59G-4.127,AHCA 59G rule,code_modifier,serve,hcpcs,H2019,HQ,Group setting,rendered_as,Group therapy,False,,
fact,Florida Assertive Community Treatment (FACT),59G-4.127,AHCA 59G rule,code_modifier,serve,hcpcs,H2019,HR,Family/couple with client present,rendered_as,Individual and family therapy,False,,
fqhc_encounter,FQHC encounter — primary care and BH,59G-4.100,AHCA 59G rule,facility_pps_encounter,serve,,,,,,,,,
mhtcm,Mental Health Targeted Case Management,,AHCA 59G rule,code_modifier,serve,,,,,,,,,
qrtp,Qualified Residential Treatment Program Services,,AHCA 59G rule,facility_per_diem,serve,,,,,,,,,
rhc_encounter,Rural Health Clinic encounter,59G-4.280,AHCA 59G rule,facility_pps_encounter,serve,,,,,,,,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,icd10cm,F20-F29,,,classified_by,"Schizophrenia, schizotypal, delusional and other psychotic disorders",False,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,icd10cm,F30-F39,,,classified_by,Mood [affective] disorders,False,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,icd10cm,F40-F48,,,classified_by,"Anxiety, dissociative, stress-related, somatoform disorders",False,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,icd10cm,F90-F98,,,classified_by,Behavioural and emotional disorders with onset in childhood/adolescence,False,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,740,1,severity of illness,grouped_to,MENTAL ILLNESS DIAGNOSIS WITH O.R. PROCEDURE,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,740,2,severity of illness,grouped_to,MENTAL ILLNESS DIAGNOSIS WITH O.R. PROCEDURE,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,740,3,severity of illness,grouped_to,MENTAL ILLNESS DIAGNOSIS WITH O.R. PROCEDURE,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,740,4,severity of illness,grouped_to,MENTAL ILLNESS DIAGNOSIS WITH O.R. PROCEDURE,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,750,1,severity of illness,grouped_to,SCHIZOPHRENIA,True,,
