location_id,taxonomy_code,taxonomy_description,medicaid_approved,location_address
9dfc7345e098b14f,390200000X,"An individual who is enrolled in an organized health care education/training program leading to a degree, certification, registration, and/or licensure to provide health care.",True,"6075 BATHEY LN, NAPLES, FL 34116"
64174fc20320546b,101Y00000X,A provider who is trained and educated in the performance of behavior health services through interpersonal communications and analysis. Training and education at the specialty level usually requires a master's degree and clinical experience and supervision for licensure or certification.,True,"2806 HORSESHOE DR S, NAPLES, FL 34104"
64174fc20320546b,101YA0400X,Definition to come...,True,"2806 HORSESHOE DR S, NAPLES, FL 34104"
64174fc20320546b,101YM0800X,Definition to come...,True,"2806 HORSESHOE DR S, NAPLES, FL 34104"
64174fc20320546b,1041C0700X,"A social worker who holds a master's or doctoral degree in social work from an accredited school of social work in addition to at least two years of post-master's supervised experience in a clinical setting. The social worker must be licensed, certified, or registered at the clinical level in the jurisdiction of practice. A clinical social worker provides direct services, including interventions focused on interpersonal interactions, intrapsychic dynamics, and life management issues. Clinical social work services are based on bio-psychosocial perspectives. Services consist of assessment, diagnosis, treatment (including psychotherapy and counseling), client-centered advocacy, consultation, evaluation, and prevention of mental illness, emotional, or behavioral disturbances.",True,"2806 HORSESHOE DR S, NAPLES, FL 34104"
64174fc20320546b,106H00000X,"A marriage and family therapist is a person with a master's degree in marriage and family therapy, or a master's or doctoral degree in a related mental health field with substantially equivalent coursework in marriage and family therapy, who receives supervised clinical experience, or a person who meets the state requirements to practice as a marriage and family therapist.  A marriage and family therapist treats mental and emotional disorders within the context of marriage and family systems.   A marriage and family therapist provides mental health and counseling services to individuals, couples, families, and groups.",True,"2806 HORSESHOE DR S, NAPLES, FL 34104"
64174fc20320546b,2084P0800X,"A Psychiatrist specializes in the prevention, diagnosis, and treatment of mental disorders, emotional disorders, psychotic disorders, mood disorders, anxiety disorders, substance-related disorders, sexual and gender identity disorders and adjustment disorders. Biologic, psychological, and social components of illnesses are explored and understood in treatment of the whole person. Tools used may include diagnostic laboratory tests, prescribed medications, evaluation and treatment of psychological and interpersonal problems with individuals and families, and intervention for coping with stress, crises, and other problems.",True,"2806 HORSESHOE DR S, NAPLES, FL 34104"
64174fc20320546b,2084P0804X,"Child & Adolescent Psychiatry is a subspecialty of psychiatry with additional skills and training in the diagnosis and treatment of developmental, behavioral, emotional, and mental disorders of childhood and adolescence.",True,"2806 HORSESHOE DR S, NAPLES, FL 34104"
64174fc20320546b,251S00000X,"A private or public agency usually under local government jurisdiction, responsible for assuring the delivery of community based mental health, intellectual disabilities, substance abuse and/or behavioral health services to individuals with those disabilities. Services may range from companion care, respite, transportation, community integration, crisis intervention and stabilization, supported employment, day support, prevocational services, residential support, therapeutic and supportive consultation, environmental modifications, intensive in-home therapy and day treatment, in addition to traditional mental health and behavioral treatment.",True,"2806 HORSESHOE DR S, NAPLES, FL 34104"
64174fc20320546b,261QC1500X,Definition to come...,True,"2806 HORSESHOE DR S, NAPLES, FL 34104"
64174fc20320546b,261QM0801X,Definition to come...,True,"2806 HORSESHOE DR S, NAPLES, FL 34104"
64174fc20320546b,363LP0808X,Definition to come...,True,"2806 HORSESHOE DR S, NAPLES, FL 34104"
64174fc20320546b,390200000X,"An individual who is enrolled in an organized health care education/training program leading to a degree, certification, registration, and/or licensure to provide health care.",True,"2806 HORSESHOE DR S, NAPLES, FL 34104"
c0b5974aca639ad9,101Y00000X,A provider who is trained and educated in the performance of behavior health services through interpersonal communications and analysis. Training and education at the specialty level usually requires a master's degree and clinical experience and supervision for licensure or certification.,True,"425 N 1ST ST, IMMOKALEE, FL 34142"
c0b5974aca639ad9,101YA0400X,Definition to come...,True,"425 N 1ST ST, IMMOKALEE, FL 34142"
c0b5974aca639ad9,101YM0800X,Definition to come...,True,"425 N 1ST ST, IMMOKALEE, FL 34142"
c0b5974aca639ad9,1041C0700X,"A social worker who holds a master's or doctoral degree in social work from an accredited school of social work in addition to at least two years of post-master's supervised experience in a clinical setting. The social worker must be licensed, certified, or registered at the clinical level in the jurisdiction of practice. A clinical social worker provides direct services, including interventions focused on interpersonal interactions, intrapsychic dynamics, and life management issues. Clinical social work services are based on bio-psychosocial perspectives. Services consist of assessment, diagnosis, treatment (including psychotherapy and counseling), client-centered advocacy, consultation, evaluation, and prevention of mental illness, emotional, or behavioral disturbances.",True,"425 N 1ST ST, IMMOKALEE, FL 34142"
c0b5974aca639ad9,106H00000X,"A marriage and family therapist is a person with a master's degree in marriage and family therapy, or a master's or doctoral degree in a related mental health field with substantially equivalent coursework in marriage and family therapy, who receives supervised clinical experience, or a person who meets the state requirements to practice as a marriage and family therapist.  A marriage and family therapist treats mental and emotional disorders within the context of marriage and family systems.   A marriage and family therapist provides mental health and counseling services to individuals, couples, families, and groups.",True,"425 N 1ST ST, IMMOKALEE, FL 34142"
c0b5974aca639ad9,2084P0800X,"A Psychiatrist specializes in the prevention, diagnosis, and treatment of mental disorders, emotional disorders, psychotic disorders, mood disorders, anxiety disorders, substance-related disorders, sexual and gender identity disorders and adjustment disorders. Biologic, psychological, and social components of illnesses are explored and understood in treatment of the whole person. Tools used may include diagnostic laboratory tests, prescribed medications, evaluation and treatment of psychological and interpersonal problems with individuals and families, and intervention for coping with stress, crises, and other problems.",True,"425 N 1ST ST, IMMOKALEE, FL 34142"
c0b5974aca639ad9,2084P0804X,"Child & Adolescent Psychiatry is a subspecialty of psychiatry with additional skills and training in the diagnosis and treatment of developmental, behavioral, emotional, and mental disorders of childhood and adolescence.",True,"425 N 1ST ST, IMMOKALEE, FL 34142"
