filename,link_text,url,format,effective,rule_number,source_page,source_page_url,rate_class,corpus,bh_direct,bh_crosscut
Appendix_J_Adult_Cert_MHTCM.pdf,Adult Certification Adult Mental Health Targeted Case Management,https://ahca.myflorida.com/content/download/6983/file/Appendix_J_Adult_Cert_MHTCM.pdf,pdf,,,Adopted Rules,https://ahca.myflorida.com/medicaid/rules/adopted-rules.html,policy_rule,policy,Y,
Appendix_K_Adult_Cert_Int_CM_Adult_MHTCM.pdf,Adult Certification Intensive Case Management Team Services Adult Mental Health Targeted Case Management,https://ahca.myflorida.com/content/download/6984/file/Appendix_K_Adult_Cert_Int_CM_Adult_MHTCM.pdf,pdf,,,Adopted Rules,https://ahca.myflorida.com/medicaid/rules/adopted-rules.html,policy_rule,policy,Y,
Appendix_L_Med_30-day_Cert_MHTCM.pdf,Medicaid 30-Day Certification For Children’s Or Adult Mental Health Targeted Case Management,https://ahca.myflorida.com/content/download/6985/file/Appendix_L_Med_30-day_Cert_MHTCM.pdf,pdf,,,Adopted Rules,https://ahca.myflorida.com/medicaid/rules/adopted-rules.html,policy_rule,policy,Y,
PAC_Case_Management_Agency_Transfer_Request.pdf,PAC Case Management Agency Transfer Request,https://ahca.myflorida.com/content/download/6993/file/PAC_Case_Management_Agency_Transfer_Request.pdf,pdf,,,Adopted Rules,https://ahca.myflorida.com/medicaid/rules/adopted-rules.html,policy_rule,policy,Y,
PAC_Waiver_Case_Management_and_Comprehensive_Needs_Assessment_Protocol.pdf,PAC Waiver Case Management and Comprehensive Needs Assessment Protocol,https://ahca.myflorida.com/content/download/6996/file/PAC_Waiver_Case_Management_and_Comprehensive_Needs_Assessment_Protocol.pdf,pdf,,,Adopted Rules,https://ahca.myflorida.com/medicaid/rules/adopted-rules.html,policy_rule,policy,Y,
PAC_Waiver_Level_of_Need_Assessment_Case_Mangement_Tool.pdf,PAC Waiver Level of Need Assessment Case Management Tool,https://ahca.myflorida.com/content/download/6998/file/PAC_Waiver_Level_of_Need_Assessment_Case_Mangement_Tool.pdf,pdf,,,Adopted Rules,https://ahca.myflorida.com/medicaid/rules/adopted-rules.html,policy_rule,policy,Y,
59G-13.070_DD_iBudget_Waiver_Services_2023rev.pdf,Developmental Disabilities Individual Budgeting Waiver Services,https://ahca.myflorida.com/content/download/5933/file/59G-13.070_DD_iBudget_Waiver_Services_2023rev.pdf,pdf,,59G-13.070,Adopted Rules – Service Specific Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-service-specific-policies.html,policy_service_specific,policy,Y,
59G-4.027 Behavioral Health Overlay Services Coverage and Limitations Handbook_Adoption.pdf,Behavioral Health Overlay Services,https://ahca.myflorida.com/content/download/27060/file/59G-4.027%20Behavioral%20Health%20Overlay%20Services%20Coverage%20and%20Limitations%20Handbook_Adoption.pdf,pdf,,59G-4.027,Adopted Rules – Service Specific Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-service-specific-policies.html,policy_service_specific,policy,Y,
59G-4.028.pdf,Behavioral Health Assessment Services,https://ahca.myflorida.com/content/download/5937/file/59G-4.028.pdf,pdf,,59G-4.028,Adopted Rules – Service Specific Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-service-specific-policies.html,policy_service_specific,policy,Y,
59G-4.029.pdf,Behavioral Health Medication Management Services,https://ahca.myflorida.com/content/download/5938/file/59G-4.029.pdf,pdf,,59G-4.029,Adopted Rules – Service Specific Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-service-specific-policies.html,policy_service_specific,policy,Y,
59G-4.031.pdf,Behavioral Health Community Support Services,https://ahca.myflorida.com/content/download/5939/file/59G-4.031.pdf,pdf,,59G-4.031,Adopted Rules – Service Specific Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-service-specific-policies.html,policy_service_specific,policy,Y,
59G-4.052.pdf,Behavioral Health Therapy Services,https://ahca.myflorida.com/content/download/5942/file/59G-4.052.pdf,pdf,,59G-4.052,Adopted Rules – Service Specific Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-service-specific-policies.html,policy_service_specific,policy,Y,
