filename,link_text,url,format,effective,rule_number,source_page,source_page_url,rate_class
2011_All_Fee_Schedules.zip,2011 All Fee Schedules,https://ahca.myflorida.com/content/download/7048/file/2011_All_Fee_Schedules.zip,zip,2011,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical
2013_All_Fee_Schedules.zip,2013 All Fee Schedules (Version 2),https://ahca.myflorida.com/content/download/7049/file/2013_All_Fee_Schedules.zip,zip,2013,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical
2014_All_Fee_Schedules.zip,2014 All Fee Schedules,https://ahca.myflorida.com/content/download/7050/file/2014_All_Fee_Schedules.zip,zip,2014,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical
2015_All_Fee_Schedules.zip,2015 All Fee Schedules,https://ahca.myflorida.com/content/download/7051/file/2015_All_Fee_Schedules.zip,zip,2015,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical
2016_All_Fee_Schedules.zip,2016 All Fee Schedules,https://ahca.myflorida.com/content/download/7052/file/2016_All_Fee_Schedules.zip,zip,2016,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical
2017_All_Fee_Schedules.zip,2017 All Fee Schedules,https://ahca.myflorida.com/content/download/7053/file/2017_All_Fee_Schedules.zip,zip,2017,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical
2018_All_Fee_Schedules.zip,2018 All Fee Schedules,https://ahca.myflorida.com/content/download/7054/file/2018_All_Fee_Schedules.zip,zip,2018,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical
2019_All_Fee_Schedules.zip,2019 All Fee Schedules,https://ahca.myflorida.com/content/download/7055/file/2019_All_Fee_Schedules.zip,zip,2019,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical
2020_All_Fee_Schedules.zip,2020 All Fee Schedules,https://ahca.myflorida.com/content/download/7056/file/2020_All_Fee_Schedules.zip,zip,2020,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical
2021_All_Fee_Schedules.zip,2021 All Fee Schedules,https://ahca.myflorida.com/content/download/19974/file/2021_All_Fee_Schedules.zip,zip,2021,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical
